"Round","Pick","Player","Name","Team","Position","College","year"
"","5","68","Will Redmond","49ers","DB","Mississippi State",2016
"","6","69","Yannick Ngakoue","Jaguars","DE","Maryland",2016
"","7","70","Bronson Kaufusi","Ravens","DE","Brigham Young",2016
"","8","71","Darian Thompson","Giants","DB","Boise State",2016
"","9","72","Jonathan Bullard","Bears","DT","Florida",2016
"","10","73","Kenyan Drake","Dolphins","RB","Alabama",2016
"","11","74","KeiVarae Russell","Chiefs","DB","Notre Dame",2016
"","12","75","Shilique Calhoun","Raiders","DE","Michigan State",2016
"","13","76","Shon Coleman","Browns","T","Auburn",2016
"","14","77","Daryl Worley","Panthers","DB","West Virginia",2016
"","15","78","Joe Thuney","Patriots","G","North Carolina State",2016
"","16","79","Isaac Seumalo","Eagles","G","Oregon State",2016
"","17","80","Adolphus Washington","Bills","DT","Ohio State",2016
"","18","81","Austin Hooper","Falcons","TE","Stanford",2016
"","19","82","Le'Raven Clark","Colts","T","Texas Tech",2016
"","20","83","Jordan Jenkins","Jets","LB","Georgia",2016
"","21","84","Kendall Fuller","Redskins","DB","Virginia Tech",2016
"","22","85","Braxton Miller","Texans","WR","Ohio State",2016
"","23","86","Leonte Carroo","Dolphins","WR","Rutgers",2016
"","24","87","Nick Vigil","Bengals","LB","Utah State",2016
"","25","88","Kyler Fackrell","Packers","LB","Utah State",2016
"","26","89","Javon Hargrave","Steelers","DT","South Carolina State",2016
"","27","90","C.J. Prosise","Seahawks","RB","Notre Dame",2016
"","29","91","Jacoby Brissett","Patriots","QB","North Carolina State",2016
"","30","92","Brandon Williams","Cardinals","DB","Texas A&M",2016
"","31","93","Cody Kessler","Browns","QB","USC",2016
"","32","94","Nick Vannett","Seahawks","TE","Ohio State",2016
"","33","95","Graham Glasgow","Lions","C","Michigan",2016
"","34","96","Vincent Valentine","Patriots","DT","Nebraska",2016
"","35","97","Rees Odhiambo","Seahawks","G","Boise State",2016
"","36","98","Justin Simmons","Broncos","DB","Boston College",2016
"4","1","99","Joe Schobert","Browns","LB","Wisconsin",2016
"","2","100","Connor Cook","Raiders","QB","Michigan State",2016
"","3","101","Charles Tapper","Cowboys","DE","Oklahoma",2016
"","4","102","Joshua Perry","Chargers","LB","Ohio State",2016
"","5","103","Sheldon Day","Jaguars","DT","Notre Dame",2016
"","6","104","Tavon Young","Ravens","DB","Temple",2016
"","7","105","Parker Ehinger","Chiefs","G","Cincinnati",2016
"","8","106","Eric Murray","Chiefs","DB","Minnesota",2016
"","9","107","Chris Moore","Ravens","WR","Cincinnati",2016
"","10","108","Ryan Smith","Buccaneers","DB","North Carolina Central",2016
"","11","109","B.J. Goodson","Giants","LB","Clemson",2016
"","12","110","Tyler Higbee","Rams","TE","Western Kentucky",2016
"","13","111","Miles Killebrew","Lions","DB","Southern Utah",2016
"","14","112","Malcolm Mitchell","Patriots","WR","Georgia",2016
"","15","113","Nick Kwiatkoski","Bears","LB","West Virginia",2016
"","16","114","Ricardo Louis","Browns","WR","Auburn",2016
"","17","115","De'Vondre Campbell","Falcons","LB","Minnesota",2016
"","18","116","Hassan Ridgeway","Colts","DT","Texas",2016
"","19","117","Pharoh Cooper","Rams","WR","South Carolina",2016
"","20","118","Juston Burris","Jets","DB","North Carolina State",2016
"","21","119","Tyler Ervin","Texans","RB","San Jose State",2016
"","22","120","David Onyemata","Saints","DT","Manitoba",2016
"","23","121","Willie Beavers","Vikings","T","Western Michigan",2016
"","24","122","Andrew Billings","Bengals","DT","Baylor",2016
"","25","123","Jerald Hawkins","Steelers","T","Louisiana State",2016
"","26","124","Deon Bush","Bears","DB","Miami (FL)",2016
"","27","125","Antonio Morrison","Colts","LB","Florida",2016
"","28","126","Demarcus Robinson","Chiefs","WR","Florida",2016
"","29","127","Deiondre' Hall","Bears","DB","Northern Iowa",2016
"","30","128","Evan Boehm","Cardinals","C","Missouri",2016
"","31","129","Derrick Kindred","Browns","DB","Texas Christian",2016
"","32","130","Alex Lewis","Ravens","T","Nebraska",2016
"","33","131","Blake Martinez","Packers","LB","Stanford",2016
"","34","132","Willie Henry","Ravens","DT","Michigan",2016
"","35","133","Rashard Robinson","49ers","DB","Louisiana State",2016
"","36","134","Kenneth Dixon","Ravens","RB","Louisiana Tech",2016
"","37","135","Dak Prescott","Cowboys","QB","Mississippi State",2016
"","38","136","Devontae Booker","Broncos","RB","Utah",2016
"","39","137","Dean Lowry","Packers","DE","Northwestern",2016
"","40","138","Seth Devalve","Browns","TE","Princeton",2016
"","41","139","Cardale Jones","Bills","QB","Ohio State",2016
"5","1","140","Tajae Sharpe","Titans","WR","Massachusetts",2016
"","2","141","Zack Sanchez","Panthers","DB","Oklahoma",2016
"","3","142","Ronald Blair","49ers","DE","Appalachian State",2016
"","4","143","DeAndre Washington","Raiders","RB","Texas Tech",2016
"","5","144","Connor McGovern","Broncos","G","Missouri",2016
"","6","145","John Theus","49ers","T","Georgia",2016
"","7","146","Matt Judon","Ravens","DE","Grand Valley State",2016
"","8","147","Quinton Jefferson","Seahawks","DT","Maryland",2016
"","9","148","Caleb Benenoch","Buccaneers","T","UCLA",2016
"","10","149","Paul Perkins","Giants","RB","UCLA",2016
"","11","150","Jordan Howard","Bears","RB","Indiana",2016
"","12","151","Joe Dahl","Lions","G","Washington State",2016
"","13","152","Matthew Ioannidis","Redskins","DT","Temple",2016
"","14","153","Wendell Smallwood","Eagles","RB","West Virginia",2016
"","15","154","Jordan Payton","Browns","WR","UCLA",2016
"","17","155","Joe Haeg","Colts","T","North Dakota State",2016
"","18","156","Jonathan Williams","Bills","RB","Arkansas",2016
"","20","157","LeShaun Sims","Titans","DB","Southern Utah",2016
"","21","158","Brandon Shell","Jets","T","South Carolina",2016
"","22","159","K.J. Dillon","Texans","DB","West Virginia",2016
"","23","160","Kentrell Brothers","Vikings","LB","Missouri",2016
"","24","161","Christian Westerman","Bengals","G","Arizona State",2016
"","25","162","Kevin Hogan","Chiefs","QB","Stanford",2016
"","26","163","Trevor Davis","Packers","WR","California",2016
"","27","164","Halapoulivaati Vaitai","Eagles","T","Texas Christian",2016
"","28","165","Tyreek Hill","Chiefs","WR","West Alabama",2016
"","29","166","D.J. Reader","Texans","DT","Clemson",2016
"","30","167","Marqui Christian","Cardinals","DB","Midwestern State (TX)",2016
"","31","168","Spencer Drango","Browns","G","Baylor",2016
"","32","169","Antwione Williams","Lions","LB","Georgia Southern",2016
"","33","170","Cole Toner","Cardinals","T","Harvard",2016
"","34","171","Alex Collins","Seahawks","RB","Arkansas",2016
"","35","172","Rashard Higgins","Browns","WR","Colorado State",2016
"","36","173","Trey Caldwell","Browns","DB","Louisiana-Monroe",2016
"","37","174","Fahn Cooper","49ers","T","Mississippi",2016
"","38","175","Jatavis Brown","Chargers","LB","Akron",2016
"6","1","176","Andy Janovich","Broncos","RB","Nebraska",2016
"","2","177","Temarrick Hemingway","Rams","TE","South Carolina State",2016
"","3","178","D.J. White","Chiefs","DB","Georgia Tech",2016
"","4","179","Drew Kaser","Chargers","P","Texas A&M",2016
"","5","180","Moritz Boehringer","Vikings","WR","",2016
"","6","181","Tyrone Holmes","Jaguars","LB","Montana",2016
"","7","182","Keenan Reynolds","Ravens","RB","Navy",2016
"","8","183","Devante Bond","Buccaneers","LB","Oklahoma",2016
"","9","184","Jerell Adams","Giants","TE","South Carolina",2016
"","10","185","DeAndre Houston-Carson","Bears","DB","William & Mary",2016
"","11","186","Jakeem Grant","Dolphins","WR","Texas Tech",2016
"","12","187","Nate Sudfeld","Redskins","QB","Indiana",2016
"","13","188","David Morgan","Vikings","TE","Texas-San Antonio",2016
"","14","189","Anthony Brown","Cowboys","DB","Purdue",2016
"","15","190","Josh Forrest","Rams","LB","Kentucky",2016
"","16","191","Jake Rudock","Lions","QB","Michigan",2016
"","17","192","Kolby Listenbee","Bills","WR","Texas Christian",2016
"","18","193","Sebastian Tretola","Titans","G","Arkansas",2016
"","19","194","Cory James","Raiders","LB","Colorado State",2016
"","20","195","Wes Schweitzer","Falcons","G","San Jose State",2016
"","21","196","Blake Countess","Eagles","DB","Auburn",2016
"","22","197","Dan Vitale","Buccaneers","RB","Northwestern",2016
"","23","198","Derek Watt","Chargers","RB","Wisconsin",2016
"","24","199","Cody Core","Bengals","WR","Mississippi",2016
"","25","200","Kyle Murphy","Packers","T","Stanford",2016
"","26","201","Brandon Allen","Jaguars","QB","Arkansas",2016
"","27","202","Anthony Zettel","Lions","DT","Penn State",2016
"","28","203","Dadi Nicolas","Chiefs","DE","Virginia Tech",2016
"","29","204","Jordan Lucas","Dolphins","DB","Penn State",2016
"","30","205","Harlan Miller","Cardinals","DB","Southeastern Louisiana",2016
"","31","206","Mike Thomas","Rams","WR","Southern Mississippi",2016
"","32","207","Jeff Driskel","49ers","QB","Louisiana Tech",2016
"","33","208","Kamu Grugier-Hill","Patriots","LB","Eastern Illinois",2016
"","34","209","Maurice Canady","Ravens","DB","Virginia",2016
"","35","210","Jimmy Landes","Lions","C","Baylor",2016
"","36","211","Kelvin Taylor","49ers","RB","Florida",2016
"","37","212","Kavon Frazier","Cowboys","DB","Central Michigan",2016
"","38","213","Aaron Burbridge","49ers","WR","Michigan State",2016
"","39","214","Elandon Roberts","Patriots","LB","Houston",2016
"","40","215","Joey Hunt","Seahawks","C","Texas Christian",2016
"","41","216","Darius Jackson","Cowboys","RB","Eastern Michigan",2016
"","42","217","Rico Gathers","Cowboys","TE","Baylor",2016
"","43","218","Kevon Seymour","Bills","DB","USC",2016
"","44","219","Will Parks","Broncos","DB","Arizona",2016
"","45","220","Travis Feeney","Steelers","LB","Washington",2016
"","46","221","Ted Karras","Patriots","G","Illinois",2016
"7","1","222","Aaron Wallace","Titans","LB","UCLA",2016
"","2","223","Brandon Doughty","Dolphins","QB","Western Kentucky",2016
"","3","224","Donavon Clark","Chargers","G","Michigan State",2016
"","4","225","Devin Lucien","Patriots","WR","Arizona State",2016
"","5","226","Jonathan Woodard","Jaguars","DE","Central Arkansas",2016
"","6","227","Stephen Weatherly","Vikings","LB","Vanderbilt",2016
"","7","228","Riley Dixon","Broncos","P","Syracuse",2016
"","8","229","DeMarcus Ayers","Steelers","WR","Houston",2016
"","9","230","Daniel Braverman","Bears","WR","Western Michigan",2016
"","10","231","Thomas Duarte","Dolphins","TE","UCLA",2016
"","11","232","Steven Daniels","Redskins","LB","Boston College",2016
"","12","233","Jalen Mills","Eagles","DB","Louisiana State",2016
"","13","234","Vadal Alexander","Raiders","G","Louisiana State",2016
"","14","235","Lac Edwards","Jets","P","Sam Houston State",2016
"","15","236","Dwayne Washington","Lions","RB","Washington",2016
"","16","237","Daniel Lasco","Saints","RB","California",2016
"","17","238","Devin Fuller","Falcons","WR","UCLA",2016
"","18","239","Trevor Bates","Colts","LB","Maine",2016
"","19","240","Alex McCalister","Eagles","DE","Florida",2016
"","20","241","Charone Peake","Jets","WR","Clemson",2016
"","21","242","Keith Marshall","Redskins","RB","Georgia",2016
"","22","243","Kenny Lawler","Seahawks","WR","California",2016
"","23","244","Jayron Kearse","Vikings","DB","Clemson",2016
"","24","245","Clayton Fejedelem","Bengals","DB","Illinois",2016
"","25","246","Tyler Matakevich","Steelers","LB","Temple",2016
"","26","247","Zac Brooks","Seahawks","RB","Clemson",2016
"","27","248","Austin Blythe","Colts","C","Iowa",2016
"","28","249","Prince Charles Iworah","49ers","DB","Western Kentucky",2016
"","29","250","Scooby Wright III","Browns","LB","Arizona",2016
"","30","251","Joe Walker","Eagles","LB","Oregon",2016
"","31","252","Beau Sandland","Panthers","TE","Montana State",2016
"","32","253","Kalan Reed","Titans","DB","Southern Mississippi",2016
