"year","name","college","pos","height_in","weight_lbs","wonderlic","x40_yard","bench_press","vert_leap_in","broad_jump_in","shuttle","x3cone"
2016,"AShawn Robinson","Alabama","DT",75.63,307,NA,5.2,22,26,106,4.74,7.8
2016,"Demarcus Robinson","Florida","WR",73.38,203,NA,4.59,NA,34.5,123,4.19,6.77
2016,"Rashard Robinson","Louisiana State","CB",73.5,171,NA,4.49,NA,35.5,121,9.99,9.99
2016,"Alonzo Russell","Toledo","WR",75.63,206,NA,4.54,12,29.5,112,4.33,7.18
2016,"KeiVarae Russell","Notre Dame","CB",71.13,192,NA,9.99,17,NA,NA,9.99,9.99
2016,"Zack Sanchez","Oklahoma","CB",70.88,185,NA,9.99,19,35.5,116,9.99,9.99
2016,"Beau Sandland","Montana State","TE",76.5,253,NA,4.74,23,35,124,4.33,7.1
2016,"Joe Schobert","Wisconsin","OLB",73.38,244,NA,4.76,22,33.5,111,4.3,7.11
2016,"Rashawn Scott","Miami (FL)","WR",72.88,199,NA,9.99,17,32.5,116,9.99,9.99
2016,"Isaac Seumalo","Oregon State","G",75.88,303,NA,5.19,NA,26,105,4.52,7.4
2016,"Kevon Seymour","Southern California","CB",71.5,186,NA,4.39,12,35,124,4.18,9.99
2016,"Hunter Sharp","Utah State","WR",71.5,198,NA,4.58,12,32.5,116,4.19,7.12
2016,"Tajae Sharpe","Massachusetts","WR",74,194,NA,4.55,11,33.5,114,9.99,9.99
2016,"Brandon Shell","South Carolina","OT",77.38,324,NA,5.22,22,30.5,112,9.99,9.99
2016,"Sterling Shepard","Oklahoma","WR",70.25,194,NA,4.48,20,41,123,4.35,7
2016,"Elijah Shumate","Notre Dame","SS",71,216,NA,4.58,18,33,119,4.51,9.99
2016,"Devaunte Sigler","Jacksonville State (AL)","DT",75.5,298,NA,5.15,23,25,NA,4.97,7.9
2016,"Justin Simmons","Boston College","FS",74.38,202,NA,4.61,16,40,126,3.85,6.58
2016,"LeShaun Sims","Southern Utah","CB",72.5,203,NA,4.53,11,37,120,4.19,7.08
2016,"Matt Skura","Duke","C",75.38,305,NA,5.39,27,24,103,4.76,7.89
2016,"Pearce Slater","San Diego State","OT",78.75,329,NA,5.42,17,23,92,5.12,8.36
2016,"Wendell Smallwood","West Virginia","RB",70.5,208,NA,4.47,14,33.5,120,4.28,6.83
2016,"Jaylon Smith","Notre Dame","OLB",74,223,NA,9.99,NA,NA,NA,9.99,9.99
2016,"Ryan Smith","North Carolina Central","CB",71,189,NA,4.47,18,36,122,4.09,6.88
2016,"Terrance Smith","Florida State","OLB",74.88,235,NA,4.77,19,34.5,120,9.99,9.99
2016,"Noah Spence","Eastern Kentucky","DE",74.5,251,NA,4.8,25,35,121,4.35,7.21
2016,"Jason Spriggs","Indiana","OT",77.63,301,NA,4.94,31,31.5,115,4.44,7.7
2016,"Nelson Spruce","Colorado","WR",73.13,206,NA,4.69,12,35,114,4.2,7.09
2016,"A.J. Stamps","Kentucky","FS",70.88,193,NA,4.79,15,33,115,4.25,7.17
2016,"Ronnie Stanley","Notre Dame","OT",77.75,312,NA,5.2,NA,28.5,NA,4.9,8.03
2016,"Joel Stave","Wisconsin","QB",77.25,236,NA,4.8,NA,33.5,115,4.33,7.29
2016,"Eric Striker","Oklahoma","OLB",71,227,NA,4.8,23,30,116,4.46,7.3
2016,"Nate Sudfeld","Indiana","QB",78.13,234,NA,9.99,NA,29,105,9.99,9.99
2016,"Charles Tapper","Oklahoma","DE",74.63,271,NA,4.59,23,34,119,9.99,9.99
2016,"Kelvin Taylor","Florida","RB",70.25,207,NA,4.6,15,32,113,9.99,9.99
2016,"John Theus","Georgia","OT",78.5,313,NA,5.22,NA,28,103,4.78,7.9
2016,"Lawrence Thomas","Michigan State","DE",75.5,286,NA,4.98,NA,35,113,9.99,9.99
2016,"Michael Thomas","Ohio State","WR",74.75,212,NA,4.57,18,35,126,4.13,6.8
2016,"Darian Thompson","Boise State","FS",73,208,NA,4.69,12,32.5,118,4.33,7.26
2016,"Ron Thompson","Syracuse","DE",75,253,NA,4.92,18,NA,NA,4.5,7.46
2016,"Shadrach Thornton","North Carolina State","RB",71.63,217,NA,4.75,12,31,116,4.21,6.85
2016,"Joe Thuney","North Carolina State","G",76.63,304,NA,4.95,28,28.5,110,4.54,7.47
2016,"Cole Toner","Harvard","OT",77.25,306,NA,5.32,22,26,103,4.59,7.88
2016,"Laquon Treadwell","Mississippi","WR",74,221,NA,9.99,12,33,117,9.99,9.99
2016,"Sebastian Tretola","Arkansas","G",76.13,314,NA,5.45,22,23.5,90,5.02,7.94
2016,"Max Tuerk","Southern California","C",77,298,NA,9.99,22,NA,NA,9.99,9.99
2016,"Laremy Tunsil","Mississippi","OT",77,310,NA,9.99,NA,NA,NA,9.99,9.99
2016,"Landon Turner","North Carolina","G",75.88,330,NA,5.58,30,19,88,9.99,9.99
2016,"Soma Vainuku","Southern California","RB",71.5,246,NA,4.68,26,32,108,9.99,9.99
2016,"Halapoulivaati Vaitai","Texas Christian","OT",78,320,NA,5.26,23,29,113,5,8.26
2016,"Vincent Valentine","Nebraska","DT",75.63,329,NA,5.19,17,29,110,4.59,8.03
2016,"Nick Vannett","Ohio State","TE",78,257,NA,9.99,17,30.5,111,4.2,7.05
2016,"Nick Vigil","Utah State","ILB",74.38,239,NA,4.72,NA,31.5,115,4,6.73
2016,"Dan Vitale","Northwestern","RB",72,239,NA,4.6,30,38.5,123,4.12,7.12
2016,"Cleveland Wallace","San Jose State","CB",70.75,188,NA,4.68,NA,35.5,123,9.99,9.99
2016,"Jihad Ward","Illinois","DE",77.13,297,NA,5.11,20,25,111,4.63,7.38
2016,"Adolphus Washington","Ohio State","DT",75.38,301,16,5.17,21,27,99,4.79,8.06
2016,"DeAndre Washington","Texas Tech","RB",68.25,204,NA,4.49,24,34.5,116,4.2,7.03
