college_name,state,percent_female,percent_stem,div1_fball,school_sector,undergraduate_enrollment,mid_career_median_pay,rank,col_index,gam_residual
Eastern Kentucky University,Kentucky,44,6,0,0,16253,77900,637,92.6,105.76338982090238
Morehouse College,Georgia,1,30,0,1,2266,94e3,638,90.8,-5461.688587675671
The University of Texas at San Antonio,Texas,37,23,1,0,27364,82e3,639,91.3,-677.772772262877
Troy University,Alabama,47,9,1,0,17375,77900,640,88.8,1598.1909695424547
Barry University,Florida,48,13,0,1,4403,78100,641,98.9,-1398.8040630046453
East Tennessee State University,Tennessee,44,9,0,0,12793,71600,642,89.4,-5790.980472823096
Albright College,Pennsylvania,49,14,0,1,2349,79100,643,101.2,1218.0086244253616
Florida Agricultural and Mechanical University,Florida,51,10,0,0,9130,79100,645,98.9,2664.541633919347
Wilmington University,Delaware,52,5,0,1,12169,68600,646,105.4,-12898.9512185778
Idaho State University,Idaho,41,14,0,0,13626,84900,647,92.7,4745.451647427995
Tuskegee University,Alabama,45,35,0,1,2601,86400,648,88.8,8565.815282741649
