college_name,state,percent_female,percent_stem,division_1_football_classifications,school_sector,undergraduate_enrollment,mid_career_median_pay
Johnson & Wales University-Denver,Colorado,47,1,Not Division 1 Football,Private not-for-profit,1590,67300
Evangel University,Missouri,43,8,Not Division 1 Football,Private not-for-profit,1818,67200
Metropolitan College of New York,New York,62,1,Not Division 1 Football,Private not-for-profit,1065,67200
Middle Georgia State University,Georgia,46,12,Not Division 1 Football,Public,9639,67200
Central Baptist College,Arkansas,35,4,Not Division 1 Football,Private not-for-profit,1019,67100
College of Central Florida,Florida,50,6,Not Division 1 Football,Public,10099,67100
Spring Arbor University,Michigan,55,3,Not Division 1 Football,Private not-for-profit,2885,67e3
Corban University,Oregon,49,2,Not Division 1 Football,Private not-for-profit,1204,67e3
Maryville College,Tennessee,42,17,Not Division 1 Football,Private not-for-profit,1266,67e3
University of the Cumberlands,Kentucky,44,4,Not Division 1 Football,Private not-for-profit,3175,66900
Concordia University-Ann Arbor,Michigan,38,12,Not Division 1 Football,Private not-for-profit,790,66900
Southwest Baptist University,Missouri,53,7,Not Division 1 Football,Private not-for-profit,3434,66900
Lincoln Memorial University,Tennessee,59,11,Not Division 1 Football,Private not-for-profit,1820,66900
Springfield College,Massachusetts,38,5,Not Division 1 Football,Private not-for-profit,2214,66800
Tusculum College,Tennessee,45,4,Not Division 1 Football,Private not-for-profit,1883,66800
Hodges University,Florida,51,9,Not Division 1 Football,Private not-for-profit,2068,66800
Madonna University,Michigan,55,4,Not Division 1 Football,Private not-for-profit,3280,66700
Granite State College,New Hampshire,58,3,Not Division 1 Football,Public,2883,66700
Multnomah University,Oregon,33,1,Not Division 1 Football,Private not-for-profit,450,66700
Western New Mexico University,New Mexico,49,3,Not Division 1 Football,Public,3263,66600
Southern Wesleyan University,South Carolina,46,4,Not Division 1 Football,Private not-for-profit,1629,66600
Stevens-Henager College,Utah,29,44,Not Division 1 Football,Private not-for-profit,1452,66600
Iowa Wesleyan University,Iowa,47,6,Not Division 1 Football,Private not-for-profit,530,66500
Minot State University,North Dakota,47,6,Not Division 1 Football,Public,3792,66500
Union Institute & University,Ohio,40,1,Not Division 1 Football,Private not-for-profit,1633,66500
College of the Ozarks,Missouri,41,11,Not Division 1 Football,Private not-for-profit,1577,66400
"Union College - Barbourville, KY",Kentucky,37,5,Not Division 1 Football,Private not-for-profit,976,66300
Chicago State University,Illinois,59,16,Not Division 1 Football,Public,3968,66200
Moody Bible Institute,Illinois,32,1,Not Division 1 Football,Private not-for-profit,3654,66200
Limestone College,South Carolina,43,12,Not Division 1 Football,Private not-for-profit,3431,66200
Midway University,Kentucky,73,4,Not Division 1 Football,Private not-for-profit,1163,66100
Mary Baldwin University,Virginia,78,10,Not Division 1 Football,Private not-for-profit,1621,66100
Alverno College,Wisconsin,87,6,Not Division 1 Football,Private not-for-profit,1681,66100
University of Arkansas at Monticello,Arkansas,47,4,Not Division 1 Football,Public,4055,66e3
San Diego Christian College,California,43,6,Not Division 1 Football,Private not-for-profit,1077,66e3
Davenport University,Michigan,48,10,Not Division 1 Football,Private not-for-profit,7883,66e3
Culver-Stockton College,Missouri,38,8,Not Division 1 Football,Private not-for-profit,1153,66e3
Lourdes University,Ohio,58,5,Not Division 1 Football,Private not-for-profit,1348,66e3
Marywood University,Pennsylvania,56,5,Not Division 1 Football,Private not-for-profit,2194,66e3
Judson University,Illinois,49,3,Not Division 1 Football,Private not-for-profit,1270,65900
CUNY Medgar Evers College,New York,60,30,Not Division 1 Football,Public,8862,65900
Lyndon State College,Vermont,29,9,Not Division 1 Football,Public,1345,65800
"Lincoln University - Jefferson City, MO",Missouri,43,8,Not Division 1 Football,Public,3419,65700
Bluefield College,Virginia,47,3,Not Division 1 Football,Private not-for-profit,1223,65700
Robert Morris University Illinois,Illinois,39,6,Not Division 1 Football,Private not-for-profit,3123,65600
Eastern Oregon University,Oregon,51,5,Not Division 1 Football,Public,5258,65600
Clarks Summit University,Pennsylvania,40,2,Not Division 1 Football,Private not-for-profit,731,65600
Oklahoma Panhandle State University,Oklahoma,42,13,Not Division 1 Football,Public,1479,65500
Huntington University,Indiana,47,4,Not Division 1 Football,Private not-for-profit,1184,65400
University of North Carolina at Pembroke,North Carolina,49,14,Not Division 1 Football,Public,6557,65400
Brandman University,California,48,2,Not Division 1 Football,Private not-for-profit,5596,65400
Faulkner University,Alabama,50,3,Not Division 1 Football,Private not-for-profit,3384,65300
Goddard College,Vermont,55,1,Not Division 1 Football,Private not-for-profit,236,65300
University of South Carolina-Aiken,South Carolina,51,12,Not Division 1 Football,Public,3710,65200
Missouri Valley College,Missouri,33,11,Not Division 1 Football,Private not-for-profit,2029,65100
Central State University,Ohio,43,14,Not Division 1 Football,Public,1877,65100
Wilberforce University,Ohio,48,14,Not Division 1 Football,Private not-for-profit,801,65100
Schreiner University,Texas,47,14,Not Division 1 Football,Private not-for-profit,1338,65100
Sul Ross State University,Texas,47,10,Not Division 1 Football,Public,2681,65100
Trine University-Regional/Non-Traditional Campuses,Indiana,48,1,Not Division 1 Football,Private not-for-profit,746,65e3
Paine College,Georgia,48,13,Not Division 1 Football,Private not-for-profit,692,64800
Reinhardt University,Georgia,35,5,Not Division 1 Football,Private not-for-profit,1440,64800
Blackburn College,Illinois,42,21,Not Division 1 Football,Private not-for-profit,626,64800
Grambling State University,Louisiana,44,10,Not Division 1 Football,Public,4202,64800
Jackson State University,Mississippi,51,17,Not Division 1 Football,Public,8693,64800
Bluefield State College,West Virginia,49,3,Not Division 1 Football,Public,1734,64800
University of the Ozarks,Arkansas,39,20,Not Division 1 Football,Private not-for-profit,688,64600
Belhaven University,Mississippi,54,2,Not Division 1 Football,Private not-for-profit,3514,64600
Indian River State College,Florida,48,4,Not Division 1 Football,Public,24729,64500
Gardner-Webb University,North Carolina,54,5,Not Division 1 Football,Private not-for-profit,2879,64500
Paul Quinn College,Texas,42,6,Not Division 1 Football,Private not-for-profit,588,64500
Everest University-Tampa,Florida,32,3,Not Division 1 Football,Private not-for-profit,578,64400
Bethel College-Indiana,Indiana,54,5,Not Division 1 Football,Private not-for-profit,1649,64300
University of Maine at Fort Kent,Maine,58,7,Not Division 1 Football,Public,2032,64300
Mount Ida College,Massachusetts,55,3,Not Division 1 Football,Private not-for-profit,1386,64300
Hannibal-LaGrange University,Missouri,51,6,Not Division 1 Football,Private not-for-profit,1291,64300
Bethune-Cookman University,Florida,46,8,Not Division 1 Football,Private not-for-profit,4063,64200
Unity College,Maine,40,20,Not Division 1 Football,Private not-for-profit,766,64100
Prescott College,Arizona,49,4,Not Division 1 Football,Private not-for-profit,493,64e3
Polk State College,Florida,51,2,Not Division 1 Football,Public,15197,63900
Rochester College,Michigan,51,1,Not Division 1 Football,Private not-for-profit,1295,63900
Brewton-Parker College,Georgia,29,16,Not Division 1 Football,Private not-for-profit,798,63800
Kentucky Christian University,Kentucky,37,7,Not Division 1 Football,Private not-for-profit,536,63800
University of Pittsburgh-Bradford,Pennsylvania,43,21,Not Division 1 Football,Public,1607,63800
University of Maine at Presque Isle,Maine,54,7,Not Division 1 Football,Public,1657,63600
Medaille College,New York,56,4,Not Division 1 Football,Private not-for-profit,1841,63600
Chestnut Hill College,Pennsylvania,55,6,Not Division 1 Football,Private not-for-profit,1633,63600
Savannah State University,Georgia,46,24,Not Division 1 Football,Public,5266,63400
University of Northwestern Ohio,Ohio,9,3,Not Division 1 Football,Private not-for-profit,4963,63400
Miami Dade College,Florida,46,3,Not Division 1 Football,Public,91749,63300
Thomas University,Georgia,44,4,Not Division 1 Football,Private not-for-profit,965,63200
University of Pikeville,Kentucky,42,14,Not Division 1 Football,Private not-for-profit,2128,63100
University of Maine at Farmington,Maine,53,8,Not Division 1 Football,Public,2027,63100
William Carey University,Mississippi,51,7,Not Division 1 Football,Private not-for-profit,3464,63100
Saint Louis Christian College,Missouri,36,1,Not Division 1 Football,Private not-for-profit,198,63100
Emory & Henry College,Virginia,39,17,Not Division 1 Football,Private not-for-profit,1595,63e3
Mars Hill University,North Carolina,39,17,Not Division 1 Football,Private not-for-profit,1499,62900
Daytona State College,Florida,48,7,Not Division 1 Football,Public,20303,62800
Indiana University-East,Indiana,50,9,Not Division 1 Football,Public,6342,62800
Glenville State College,West Virginia,31,5,Not Division 1 Football,Public,2269,62600
Pensacola State College,Florida,48,4,Not Division 1 Football,Public,13812,62500
Asbury University,Kentucky,48,5,Not Division 1 Football,Private not-for-profit,1779,62500
North Central University,Minnesota,45,1,Not Division 1 Football,Private not-for-profit,1251,62400
Black Hills State University,South Dakota,52,10,Not Division 1 Football,Public,5346,62400
Arizona Christian University,Arizona,30,6,Not Division 1 Football,Private not-for-profit,903,62300
Georgia Gwinnett College,Georgia,45,23,Not Division 1 Football,Public,14245,62300
Toccoa Falls College,Georgia,43,4,Not Division 1 Football,Private not-for-profit,1150,62200
Briar Cliff University,Iowa,45,7,Not Division 1 Football,Private not-for-profit,1138,62200
"Anderson University - Anderson, SC",South Carolina,56,5,Not Division 1 Football,Private not-for-profit,3074,62200
Bay Path University,Massachusetts,87,4,Not Division 1 Football,Private not-for-profit,2093,62100
Alcorn State University,Mississippi,52,20,Not Division 1 Football,Public,3304,62100
Le Moyne-Owen College,Tennessee,52,12,Not Division 1 Football,Private not-for-profit,1112,62100
Point University,Georgia,39,4,Not Division 1 Football,Private not-for-profit,1849,62e3
William Woods University,Missouri,63,4,Not Division 1 Football,Private not-for-profit,1204,62e3
Virginia Union University,Virginia,45,10,Not Division 1 Football,Private not-for-profit,1626,62e3
Converse College,South Carolina,87,7,Not Division 1 Football,Private not-for-profit,853,61800
University of Arkansas at Pine Bluff,Arkansas,45,23,Not Division 1 Football,Public,2798,61600
Keiser University-Ft Lauderdale,Florida,57,7,Not Division 1 Football,Private not-for-profit,32937,61600
Bryan College-Dayton,Tennessee,42,3,Not Division 1 Football,Private not-for-profit,1619,61400
Judson College,Alabama,84,8,Not Division 1 Football,Private not-for-profit,474,61300
Manhattan Christian College,Kansas,32,1,Not Division 1 Football,Private not-for-profit,347,61300
Tougaloo College,Mississippi,51,17,Not Division 1 Football,Private not-for-profit,934,61300
University of Mount Olive,North Carolina,54,5,Not Division 1 Football,Private not-for-profit,4043,61200
Cheyney University of Pennsylvania,Pennsylvania,39,9,Not Division 1 Football,Public,803,61200
Southwestern Assemblies of God University,Texas,39,1,Not Division 1 Football,Private not-for-profit,1989,61200
University of Arkansas-Fort Smith,Arkansas,44,9,Not Division 1 Football,Public,7688,60800
Concordia University-Nebraska,Nebraska,41,7,Not Division 1 Football,Private not-for-profit,1964,60800
Life Pacific College,California,43,1,Not Division 1 Football,Private not-for-profit,604,60500
Edward Waters College,Florida,41,14,Not Division 1 Football,Private not-for-profit,3650,60500
Harris-Stowe State University,Missouri,54,8,Not Division 1 Football,Public,1805,60500
Ohio Christian University,Ohio,50,1,Not Division 1 Football,Private not-for-profit,5098,60500
Hilbert College,New York,47,5,Not Division 1 Football,Private not-for-profit,1515,60300
Mississippi University for Women,Mississippi,68,3,Not Division 1 Football,Public,2981,60200
Cazenovia College,New York,61,3,Not Division 1 Football,Private not-for-profit,1169,60200
Flagler College-Tallahassee,Florida,55,1,Not Division 1 Football,Private not-for-profit,585,60200
Southern University at New Orleans,Louisiana,60,15,Not Division 1 Football,Public,2736,6e4
Talladega College,Alabama,36,25,Not Division 1 Football,Private not-for-profit,1092,59800
Elizabeth City State University,North Carolina,46,17,Not Division 1 Football,Public,1823,59800
Fayetteville State University,North Carolina,56,8,Not Division 1 Football,Public,6633,59700
Coker College,South Carolina,49,5,Not Division 1 Football,Private not-for-profit,1274,59600
Calvary University,Missouri,40,3,Not Division 1 Football,Private not-for-profit,293,59500
Wesleyan College,Georgia,84,11,Not Division 1 Football,Private not-for-profit,780,59300
Wiley College,Texas,47,8,Not Division 1 Football,Private not-for-profit,1377,59300
West Virginia University at Parkersburg,West Virginia,49,3,Not Division 1 Football,Public,3349,59300
Central Christian College of Kansas,Kansas,39,3,Not Division 1 Football,Private not-for-profit,1604,59200
University of Science and Arts of Oklahoma,Oklahoma,53,10,Not Division 1 Football,Public,968,59e3
Columbia International University,South Carolina,36,1,Not Division 1 Football,Private not-for-profit,571,59e3
Voorhees College,South Carolina,45,14,Not Division 1 Football,Private not-for-profit,467,58900
"Columbia College - Columbia, SC",South Carolina,60,11,Not Division 1 Football,Private not-for-profit,1871,58600
University of Maine at Machias,Maine,53,19,Not Division 1 Football,Public,1007,58500
Fort Valley State University,Georgia,45,17,Not Division 1 Football,Public,2553,58300
The University of Montana-Western,Montana,51,6,Not Division 1 Football,Public,1747,58e3
Cincinnati Christian University,Ohio,34,1,Not Division 1 Football,Private not-for-profit,715,57800
Florida Memorial University,Florida,51,10,Not Division 1 Football,Private not-for-profit,1569,57700
Wilson College,Pennsylvania,69,3,Not Division 1 Football,Private not-for-profit,709,57700
Rust College,Mississippi,47,38,Not Division 1 Football,Private not-for-profit,1005,57600
Trinity Bible College and Graduate School,North Dakota,26,1,Not Division 1 Football,Private not-for-profit,230,57600
Benedict College,South Carolina,36,22,Not Division 1 Football,Private not-for-profit,2729,57200
Stillman College,Alabama,37,22,Not Division 1 Football,Private not-for-profit,968,57100
Saint Mary-of-the-Woods College,Indiana,80,3,Not Division 1 Football,Private not-for-profit,816,57e3
University of Valley Forge,Pennsylvania,41,1,Not Division 1 Football,Private not-for-profit,1055,57e3
"Bethel University - McKenzie, TN",Tennessee,46,3,Not Division 1 Football,Private not-for-profit,5837,56800
Northwest Florida State College,Florida,45,3,Not Division 1 Football,Public,8632,56700
Wheelock College,Massachusetts,71,4,Not Division 1 Football,Private not-for-profit,928,55800
Lancaster Bible College,Pennsylvania,38,1,Not Division 1 Football,Private not-for-profit,1721,55800
Campbellsville University,Kentucky,47,5,Not Division 1 Football,Private not-for-profit,3930,55600
Ozark Christian College,Missouri,35,1,Not Division 1 Football,Private not-for-profit,737,55300
Saint Augustine's University,North Carolina,33,13,Not Division 1 Football,Private not-for-profit,905,55200
Miles College,Alabama,37,14,Not Division 1 Football,Private not-for-profit,2167,54900
Lindsey Wilson College,Kentucky,48,4,Not Division 1 Football,Private not-for-profit,2348,54800
Livingstone College,North Carolina,36,12,Not Division 1 Football,Private not-for-profit,1498,54300
Baptist Bible College,Missouri,35,1,Not Division 1 Football,Private not-for-profit,370,54200
Martin Luther College,Minnesota,45,1,Not Division 1 Football,Private not-for-profit,1225,53600
Texas College,Texas,26,11,Not Division 1 Football,Private not-for-profit,952,53300
Pacific Oaks College,California,79,1,Not Division 1 Football,Private not-for-profit,761,52700
Nazarene Bible College,Colorado,27,1,Not Division 1 Football,Private not-for-profit,1173,52100
The Southern Baptist Theological Seminary,Kentucky,27,1,Not Division 1 Football,Private not-for-profit,1118,51700
Morris College,South Carolina,42,19,Not Division 1 Football,Private not-for-profit,910,51600
Claflin University,South Carolina,51,19,Not Division 1 Football,Private not-for-profit,2123,51500
Philander Smith College,Arkansas,47,30,Not Division 1 Football,Private not-for-profit,703,51300
Shaw University,North Carolina,45,8,Not Division 1 Football,Private not-for-profit,1684,51200
Mississippi Valley State University,Mississippi,46,11,Not Division 1 Football,Public,2355,51e3
NaN,NaN,89,77,NaN,NaN,NaN,NaN
NaN,NaN,89,77,NaN,NaN,NaN,NaN
NaN,NaN,89,77,NaN,NaN,NaN,NaN
NaN,NaN,89,77,NaN,NaN,NaN,NaN
NaN,NaN,89,77,NaN,NaN,NaN,NaN
NaN,NaN,89,77,NaN,NaN,NaN,NaN
NaN,NaN,89,77,NaN,NaN,NaN,NaN
