college_name,state,percent_female,percent_stem,division_1_football_classifications,school_sector,undergraduate_enrollment,mid_career_median_pay
William Jewell College,Missouri,47,13,Not Division 1 Football,Private not-for-profit,1150,88200
St Francis College,New York,45,17,Not Division 1 Football,Private not-for-profit,2740,88200
Calvin College,Michigan,44,23,Not Division 1 Football,Private not-for-profit,4200,88100
Saint Josephs College,Indiana,46,18,Not Division 1 Football,Private not-for-profit,1225,88e3
Canisius College,New York,39,12,Not Division 1 Football,Private not-for-profit,2966,88e3
Carroll College,Montana,46,26,Not Division 1 Football,Private not-for-profit,1515,87900
Stockton University,New Jersey,47,14,Not Division 1 Football,Public,8971,87900
University of Massachusetts-Boston,Massachusetts,42,13,Not Division 1 Football,Public,16082,87700
King's College,Pennsylvania,36,13,Not Division 1 Football,Private not-for-profit,2269,87700
Tennessee Technological University,Tennessee,32,27,Not Division 1 Football,Public,10658,87700
Central Connecticut State University,Connecticut,35,15,Not Division 1 Football,Public,11213,87600
Wilkes University,Pennsylvania,37,14,Not Division 1 Football,Private not-for-profit,2693,87600
City University of Seattle,Washington,41,3,Not Division 1 Football,Private not-for-profit,1382,87600
Concordia University-Irvine,California,50,3,Not Division 1 Football,Private not-for-profit,2230,87500
CUNY Hunter College,New York,53,9,Not Division 1 Football,Public,20523,87500
SUNY College of Environmental Science and Forestry,New York,34,44,Not Division 1 Football,Public,1867,87500
The College of Wooster,Ohio,43,29,Not Division 1 Football,Private not-for-profit,2077,87500
University of Wisconsin-Eau Claire,Wisconsin,49,15,Not Division 1 Football,Public,10944,87500
Oglethorpe University,Georgia,51,13,Not Division 1 Football,Private not-for-profit,1663,87400
Salisbury University,Maryland,45,14,Not Division 1 Football,Public,8658,87400
Gordon College,Massachusetts,50,16,Not Division 1 Football,Private not-for-profit,1798,87400
Millsaps College,Mississippi,38,29,Not Division 1 Football,Private not-for-profit,783,87400
California State University-San Marcos,California,48,7,Not Division 1 Football,Public,12644,87400
California State University-Los Angeles,California,47,19,Not Division 1 Football,Public,24156,87300
Holy Names University,California,54,3,Not Division 1 Football,Private not-for-profit,747,87300
Hamline University,Minnesota,45,6,Not Division 1 Football,Private not-for-profit,2413,87300
University of North Carolina at Charlotte,North Carolina,36,26,Conference USA,Public,25928,87300
University of Maine,Maine,37,25,Not Division 1 Football,Public,10277,87200
Oakland University,Michigan,45,17,Not Division 1 Football,Public,19641,87200
University of Nevada-Las Vegas,Nevada,44,12,Mountain West,Public,25566,87200
Washington & Jefferson College,Pennsylvania,36,22,Not Division 1 Football,Private not-for-profit,1403,87200
National University,California,44,8,Not Division 1 Football,Private not-for-profit,14393,87100
Bloomsburg University of Pennsylvania,Pennsylvania,44,9,Not Division 1 Football,Public,9978,87100
California State University-Bakersfield,California,48,15,Not Division 1 Football,Public,9229,87e3
Linfield College-McMinnville Campus,Oregon,48,20,Not Division 1 Football,Private not-for-profit,1751,87e3
University of North Texas,Texas,39,13,Conference USA,Public,34448,87e3
Florida International University,Florida,44,17,Conference USA,Public,55100,86900
Saint Cloud State University,Minnesota,41,13,Not Division 1 Football,Public,16344,86900
Moravian College,Pennsylvania,44,17,Not Division 1 Football,Private not-for-profit,2071,86800
University of Pittsburgh-Johnstown,Pennsylvania,33,18,Not Division 1 Football,Public,2931,86800
Georgia State University,Georgia,47,17,Sun Belt,Public,29438,86700
Thomas More College,Kentucky,44,11,Not Division 1 Football,Private not-for-profit,2148,86700
Weber State University,Utah,42,9,Not Division 1 Football,Public,31790,86700
University of Colorado Colorado Springs,Colorado,41,20,Not Division 1 Football,Public,13528,86600
University of South Florida-Main Campus,Florida,43,25,American Athletic,Public,34324,86600
Texas A & M University-Corpus Christi,Texas,47,16,Not Division 1 Football,Public,10685,86600
Texas State University,Texas,45,11,Sun Belt,Public,36791,86600
Purdue University-Calumet Campus,Indiana,47,15,Not Division 1 Football,Public,10317,86500
Upstate Medical University,New York,62,6,Not Division 1 Football,Public,247,86500
Utah Valley University,Utah,33,11,Not Division 1 Football,Public,43017,86500
Tuskegee University,Alabama,45,35,Not Division 1 Football,Private not-for-profit,2601,86400
The University of Tampa,Florida,45,9,Not Division 1 Football,Private not-for-profit,7724,86300
College of Saint Benedict,Minnesota,87,20,Not Division 1 Football,Private not-for-profit,1989,86300
Kean University,New Jersey,49,11,Not Division 1 Football,Public,13730,86300
Shippensburg University of Pennsylvania,Pennsylvania,37,11,Not Division 1 Football,Public,6402,86300
